MFR URL,Ref URL 1,Ref URL 2,Ref URL 3,Ref URL 4,Ref URL 5,PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,MANUFACTURER_PART_NUMBER,ALTERNATE_PART_NUMBER,Classpath,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20,With,Standard/Approvals,Prop 65,Application,Includes,Product Name,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50,UPC,EAN,GTIN,UNSPSC,Warranty,List Price,Selling Qty,Selling UOM,Standard Packaging Information,LENGTH,LENGTH_UOM,HEIGHT,HEIGHT_UOM,WIDTH,WIDTH_UOM,WEIGHT,WEIGHT_UOM,VOLUME,VOLUME_UOM,Product Image,Alternate Image 1,Alternate Image 2,Alternate Image 3,Alternate Image 4,SDS,SDS_1,Warranty Information,Catalog,Specification Sheet,Instruction/Installation Manual,Service Manual,Owners/User Manual,Line Drawing,MTR,RoHS,Full Engineering Drawing,Energy Star Guide,Technical Bulletin,Submittal,Compatibility Chart,Size Chart,Product Label/Insert,Video Link,Video Link 1,Country Of Origin,Discontinued,Actual Image (Yes/No)
,,,,,,,Building Materials,Decking & Railing,PVC Decking,,ADCB15516BS,1x6-16' Brownstone Sq Edge - Harvest Azek PVC Decking,TIMBERTECH,-- No Unilog Brand --,-- No DIB Brand --,Parksite (6151),TimberTech,TimberTech®,,ADCB15516BS,,Building Materials > Decking & Railing > PVC Decking,"TimberTech Harvest Collection Square Edge PVC Decking, 1 in x 6 in x 16 ft",AZK 1X6 16 BRWNSTN SQ EDG PVC DECK,"TimberTech® Harvest Collection ADCB15516BS Square Edge PVC Decking, Brownstone, 1 in x 6 in x 16 ft","TimberTech® Harvest Collection Square Edge PVC Decking, ADCB15516BS, Material: PVC, Color: Brownstone, Thickness: 1 in, Width: 6 in, Length: 16 ft, Edge Profile: Square Edge, Series: Harvest","TimberTech® Harvest Collection ADCB15516BS Square Edge PVC Decking, Brownstone, 1 in x 6 in x 16 ft","Upgrade your outdoor living space with TimberTech Harvest Collection PVC Decking in Brownstone. Featuring a durable square edge profile and advanced PVC construction, this decking delivers exceptional performance, fade resistance, and low-maintenance beauty for years to come.",,,,,,,,,,,,,,,,,,,,,,,,,,PVC Decking Board,Series,Harvest,,Model,ADCB15516BS,,Material,PVC,,Color,Brownstone,,Thickness,1,in,Width,6,in,Length,16,ft,Edge Profile,Square Edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,ft,,,6,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,,Building Materials,Decking & Railing,PVC Decking,,ADCB15520BS,1x6-20' Brownstone Sq Edge - Harvest Azek PVC Decking,TIMBERTECH,-- No Unilog Brand --,-- No DIB Brand --,Parksite (6151),TimberTech,TimberTech®,,ADCB15520BS,,Building Materials > Decking & Railing > PVC Decking,"TimberTech Brownstone Square Edge 1x6-20' Azek PVC Decking, ADCB15520BS",TIMBERTECH 1X6X20 PVC DECK BRNSTONE,"TimberTech® Harvest Collection ADCB15520BS PVC Decking, 1 in x 6 in x 20 ft, Brownstone, Square Edge","TimberTech® Harvest Collection PVC Decking, Series: Harvest, Model: ADCB15520BS, Thickness: 1 in, Width: 6 in, Length: 20 ft, Color: Brownstone, Edge Type: Square Edge, Material: PVC, Finish: Wood Grain","TimberTech® Harvest Collection ADCB15520BS PVC Decking, 1 in x 6 in x 20 ft, Brownstone, Square Edge","Upgrade your outdoor living space with TimberTech Azek PVC Decking in Brownstone. Featuring advanced PVC technology and a classic square edge design, this durable decking resists fading, staining, and moisture damage for long-lasting beauty.",,,,,,,,,,,,,,,,,,,,,,,,,,PVC Decking,Series,Harvest,,Model,ADCB15520BS,,Thickness,1,in,Width,6,in,Length,20,ft,Color,Brownstone,,Edge Type,Square Edge,,Material,PVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,ft,,,6,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,,Building Materials,Decking & Railing,PVC Decking,,ADCB15516SG,1x6-16' Slate Gray Sq Edge - Harvest Azek PVC Decking,TIMBERTECH,-- No Unilog Brand --,-- No DIB Brand --,Parksite (6151),Azek Building Products,TimberTech®,,ADCB15516SG,,Building Materials > Decking & Railing > PVC Decking,"TimberTech Slate Gray Square Edge PVC Decking, 1 in x 6 in x 16 ft, ADCB15516SG",1X6-16 SLATE GRAY SQ EDGE AZEK PVC,"TimberTech® Harvest Collection Square Edge PVC Decking, Slate Gray, 1 in x 6 in x 16 ft, ADCB15516SG","TimberTech® Harvest Collection Square Edge PVC Decking, Slate Gray, ADCB15516SG, [Thickness]: 1 in, [Width]: 6 in, [Length]: 16 ft, [Material]: PVC, [Color]: Slate Gray, [Edge Type]: Square Edge, [Series]: Harvest","TimberTech® Harvest Collection Square Edge PVC Decking, Slate Gray, 1 in x 6 in x 16 ft, ADCB15516SG","Upgrade your outdoor living space with TimberTech Harvest Collection PVC Decking in Slate Gray. Featuring a durable square edge design and advanced PVC construction, this decking delivers superior moisture resistance, splinter-free safety, and long-lasting color retention.",,,,,,,,,,,,,,,,,,,,,,,,,,PVC Decking,Series,Harvest,,Model,ADCB15516SG,,Material,PVC,,Color,Slate Gray,,Edge Type,Square Edge,,Thickness,1,in,Width,6,in,Length,16,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,ft,,,6,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,,Building Materials,Decking & Railing,PVC Decking,,ADCB15520SG,1x6-20' Slate Gray Sq Edge - Harvest Azek PVC Decking,TIMBERTECH,-- No Unilog Brand --,-- No DIB Brand --,Parksite (6151),TimberTech,TimberTech®,,ADCB15520SG,,Building Materials > Decking & Railing > PVC Decking,"TimberTech Slate Gray Square Edge PVC Decking Board, 1 in x 6 in x 20 ft, ADCB15",1X6-20 SLATE GRAY SQ EDGE AZEK DECKING,"TimberTech® Harvest Collection ADCB15520SG PVC Decking Board, Slate Gray, Square Edge, 1 in x 6 in x 20 ft","TimberTech® Harvest Collection PVC Decking Board, Series: Harvest, Model: ADCB15520SG, Thickness: 1 in, Width: 6 in, Length: 20 ft, Edge Type: Square Edge, Color: Slate Gray, Material: PVC, Application: Outdoor Decking","TimberTech® Harvest Collection ADCB15520SG PVC Decking Board, Slate Gray, Square Edge, 1 in x 6 in x 20 ft","Upgrade your outdoor living space with the TimberTech Harvest Collection PVC Decking. Featuring a durable Slate Gray finish and a reliable square edge design, this low-maintenance PVC decking board delivers exceptional performance, resisting moisture, fading, and staining for years of beauty.",,,,,,,,,,,,,,,,,,,,,,,,,,PVC Decking Board,Series,Harvest,,Model,ADCB15520SG,,Thickness,1,in,Width,6,in,Length,20,ft,Color,Slate Gray,,Edge Type,Square Edge,,Material,PVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,ft,,,6,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,,Building Materials,Decking & Railing,PVC Decking,,AGB15512BS,1x6-12' Brownstone Grooved - Harvest Azek PVC Decking,TIMBERTECH,-- No Unilog Brand --,-- No DIB Brand --,Parksite (6151),Chesapeake Bay (Azek / TimberTech),TimberTech®,,AGB15512BS,,Building Materials > Decking & Railing > PVC Decking,"TimberTech Azek PVC Decking, 1x6x12 ft, Brownstone Grooved, AGB15512BS",1X6-12 FT BRNSTONE GROOV AZK PVC DECK,"TimberTech® Azek PVC Decking AGB15512BS, Harvest Collection, Brownstone, Grooved, 1 in x 6 in x 12 ft","TimberTech® Azek PVC Decking, Harvest Collection, Model AGB15512BS, Brownstone Color, Grooved Edge, Thickness: 1 in, Width: 6 in, Length: 12 ft, Material: PVC, Finish: Wood Grain Texture","TimberTech® Azek PVC Decking AGB15512BS, Harvest Collection, Brownstone, Grooved, 1 in x 6 in x 12 ft","Upgrade your outdoor living space with the TimberTech Azek PVC Decking in Brownstone. Featuring a durable capped polymer construction from the Harvest Collection, this grooved board offers exceptional resistance to weathering, fading, and staining while providing a beautiful, low-maintenance wood look.",,,,,,,,,,,,,,,,,,,,,,,,,,PVC Decking Board,Series,Harvest,,Model,AGB15512BS,,Material,PVC,,Color,Brownstone,,Edge Type,Grooved,,Thickness,1,in,Width,6,in,Length,12,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,ft,,,6,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,,Building Materials,Decking,PVC Decking,,AGB15516BS,1x6-16' Brownstone Grooved - Harvest Azek PVC Decking,TIMBERTECH,-- No Unilog Brand --,-- No DIB Brand --,Parksite (6151),TimberTech,TimberTech®,,AGB15516BS,,Building Materials > Decking & Railing > PVC Decking,"TimberTech AZEK PVC Decking, Harvest Collection, 1 in x 6 in x 16 ft, Brownstone",1X6-16 BRWNSTONE GRV HARV AZEK PVC DECK,"TimberTech® Harvest Collection AZEK PVC Decking, 1 in x 6 in x 16 ft, Brownstone, Grooved","TimberTech® Harvest Collection AZEK PVC Decking, AGB15516BS, 1 in x 6 in x 16 ft, Brownstone, Grooved Edge, Advanced PVC Material, Mold and Moisture Resistant, UV Resistant, Scratch and Stain Resistant","TimberTech® Harvest Collection AZEK PVC Decking, 1 in x 6 in x 16 ft, Brownstone, Grooved","Upgrade your outdoor living space with TimberTech AZEK PVC Decking from the Harvest Collection. Engineered with advanced PVC technology, this durable Brownstone decking resists moisture, fading, and staining while providing a splinter-free, slip-resistant surface.",,,,,,,,,,,,,,,,,,,,,,,,,,PVC Decking,Brand,TimberTech,,Series,Harvest Collection,,Model,AGB15516BS,,Material,PVC,,Color,Brownstone,,Edge Type,Grooved,,Thickness,1,in,Width,6,in,Length,16,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,ft,,,6,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,,Building Materials,Decking & Railing,PVC Decking,,AGB15520BS,1x6-20' Brownstone Grooved - Harvest Azek PVC Decking,TIMBERTECH,-- No Unilog Brand --,-- No DIB Brand --,Parksite (6151),CPG Building Products,TimberTech®,,AGB15520BS,,Building Materials > Decking & Railing > PVC Decking,"TimberTech AZEK PVC Decking, Harvest Collection, 1x6x20', AGB15520BS",1X6 20FT BRNSTONE GROOV AZEK PVC DECK,"TimberTech® Harvest Collection AGB15520BS PVC Decking, Brownstone, Grooved, 1 in x 6 in x 20 ft","TimberTech® Harvest Collection AGB15520BS PVC Decking, Brownstone, Grooved, Thickness: 1 in, Width: 6 in, Length: 20 ft, Material: PVC, Series: Harvest, Edge Type: Grooved, Color: Brownstone","TimberTech® Harvest Collection AGB15520BS PVC Decking, Brownstone, Grooved, 1 in x 6 in x 20 ft","Upgrade your outdoor living space with the TimberTech AZEK PVC Decking from the Harvest Collection. Featuring a gorgeous Brownstone color and a durable grooved profile, this PVC board provides superior moisture resistance, splinter-free safety, and long-lasting beauty for your deck.",,,,,,,,,,,,,,,,,,,,,,,,,,PVC Decking Board,Series,Harvest,,Model,AGB15520BS,,Material,PVC,,Color,Brownstone,,Edge Type,Grooved,,Thickness,1,in,Width,6,in,Length,20,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,ft,,,6,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,,Building Materials,Decking,PVC Decking,,AGB15512SG,1x6-12' Slate Gray Grooved - Harvest Azek PVC Decking,TIMBERTECH,-- No Unilog Brand --,-- No DIB Brand --,Parksite (6151),Azek Building Products,TimberTech®,,AGB15512SG,,Building Materials > Decking & Railing > PVC Decking,"TimberTech AZEK PVC Decking, 1x6-12 Slate Gray Grooved, AGB15512SG",1X6-12 SLATE GRAY GROOV PVC DECKING,"TimberTech® Harvest Collection AGB15512SG PVC Decking, 1 in x 6 in x 12 ft, Slate Gray, Grooved","TimberTech® Harvest Collection AGB15512SG PVC Decking, 1 in Thickness x 6 in Width x 12 ft Length, Slate Gray, Grooved Edge, Cellular PVC Material","TimberTech® Harvest Collection AGB15512SG PVC Decking, 1 in x 6 in x 12 ft, Slate Gray, Grooved","Upgrade your outdoor living space with TimberTech AZEK PVC Decking in Slate Gray. Featuring advanced cellular PVC technology and a classic grooved profile for hidden fastening, this board offers superior moisture resistance, durability, and a timeless look.",,,,,,,,,,,,,,,,,,,,,,,,,,PVC Decking Board,Series,Harvest,,Model,AGB15512SG,,Material,PVC,,Color,Slate Gray,,Edge Type,Grooved,,Thickness,1,in,Width,6,in,Length,12,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,ft,,,6,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,,Building Materials,Decking & Railing,PVC Decking,,AGB15516SG,1x6-16' Slate Gray Grooved - Harvest Azek PVC Decking,TIMBERTECH,-- No Unilog Brand --,-- No DIB Brand --,Parksite (6151),TimberTech,TimberTech®,,AGB15516SG,,Building Materials > Decking & Railing > PVC Decking,"TIMBERTECH AZEK Harvest Series Slate Gray Grooved PVC Decking, 1 in x 6 in x 16 ",1X6-16 SLATE GRAY GROOVED AZEK PVC DECK,"TimberTech® AZEK Harvest Series AGB15516SG PVC Decking, Slate Gray, Grooved, 1 in x 6 in x 16 ft","TimberTech® AZEK Harvest Series PVC Decking, Model: AGB15516SG, [Color]: Slate Gray, [Profile]: Grooved, [Thickness]: 1 in, [Width]: 6 in, [Length]: 16 ft, [Material]: PVC, [Application]: Residential and Commercial Decking","TimberTech® AZEK Harvest Series AGB15516SG PVC Decking, Slate Gray, Grooved, 1 in x 6 in x 16 ft","Upgrade your outdoor living space with TimberTech AZEK PVC Decking in Slate Gray. Featuring a durable capped polymer construction from the Harvest Series, this grooved board offers superior resistance to moisture, fading, and staining for a long-lasting, low-maintenance finish.",,,,,,,,,,,,,,,,,,,,,,,,,,PVC Decking,Series,Harvest,,Model,AGB15516SG,,Material,PVC,,Color,Slate Gray,,Edge Profile,Grooved,,Thickness,1,in,Width,6,in,Length,16,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,ft,,,6,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,,Building Materials,Decking,PVC Decking,,AGB15520SG,1x6-20' Slate Gray Grooved - Harvest Azek PVC Decking,TIMBERTECH,-- No Unilog Brand --,-- No DIB Brand --,Parksite (6151),TimberTech,TimberTech®,,AGB15520SG,,Building Materials > Decking & Railing > PVC Decking,"TIMBERTECH AZEK PVC Decking, Harvest Series, 1 in x 6 in x 20 ft, AGB15520SG",1X6-20 SLATE GRAY GROOVED AZEK PVC DECK,"TimberTech® Harvest Collection AZEK PVC Decking Board, 1 in x 6 in x 20 ft, Slate Gray, Grooved","TimberTech® Harvest Collection AZEK PVC Decking Board, Model: AGB15520SG, Slate Gray Color, 1 in Thickness x 6 in Width x 20 ft Length, Grooved Edge Profile, Cellular PVC Material, Mold and Mildew Resistant, Fade and Stain Resistant","TimberTech® Harvest Collection AZEK PVC Decking Board, 1 in x 6 in x 20 ft, Slate Gray, Grooved","Upgrade your outdoor living space with the TimberTech AZEK PVC Decking Board from the Harvest Collection. Featuring a sophisticated slate gray color and a durable grooved profile for hidden fasteners, this premium cellular PVC decking delivers exceptional resistance to moisture, fading, staining, and scratching for long-lasting beauty.",,,,,,,,,,,,,,,,,,,,,,,,,,PVC Decking Board,Series,Harvest,,Model,AGB15520SG,,Material,PVC,,Color,Slate Gray,,Thickness,1 in,in,Width,6 in,in,Length,20 ft,ft,Edge Type,Grooved,,Product Type,Decking Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 ft,ft,,,6 in,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,,Building Materials,Decking,Composite Decking,,543140016,1nx6-16' Biscayne Sq Edge - Trex Transcend Lineage Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,U S Lumber (3073),"Trex Company, Inc.",TREX®,,543140016,,Building Materials > Decking & Railing > Composite Decking,"TREX Transcend Lineage Biscayne Square Edge Decking, 1 in x 6 in x 16 ft, 543140",TREX 1X6-16 BISCAYNE SQ EDGE DECKING,"TREX® Transcend® Lineage™ 543140016 Composite Decking, Square Edge, Biscayne, 1 in x 6 in x 16 ft","TREX® Transcend® Lineage™ Composite Decking, Model: 543140016, Color: Biscayne, Edge Type: Square Edge, Nominal Dimensions: 1 in Thickness x 6 in Width x 16 ft Length, High-performance shell technology, Heat-mitigating technology, Splinter-free and low-maintenance.","TREX® Transcend® Lineage™ 543140016 Composite Decking, Square Edge, Biscayne, 1 in x 6 in x 16 ft","Upgrade your outdoor living space with TREX Transcend Lineage composite decking in Biscayne. Featuring advanced heat-mitigating technology and a gorgeous, natural wood aesthetic, this square-edge board delivers long-lasting durability, weather resistance, and a barefoot-friendly feel without the hassle of staining or painting.",,,,,,,,,,,,,,,,,,,,,,,,,,Composite Deck Board,Series,Transcend Lineage,,Model,543140016,,Color,Biscayne,,Edge Type,Square Edge,,Material,Composite,,Thickness,1,in,Width,6,in,Length,16,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,ft,,,6,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,,Building Materials,Decking & Railing,Composite Decking,,543140020,1nx6-20' Biscayne Sq Edge - Trex Transcend Lineage Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,U S Lumber (3073),"Trex Company, Inc.",TREX®,,543140020,,Building Materials > Decking & Railing > Composite Decking,"TREX Transcend Lineage Square Edge Decking, 1 in x 6 in x 20 ft, Biscayne",TREX 1X6-20 FT BISCAYNE SQ EDGE TRANS,"TREX® Transcend® Lineage™ 543140020 Square Edge Decking, 1 in x 6 in x 20 ft, Biscayne","TREX® Transcend® Lineage™ Composite Decking, Series: Transcend Lineage, Model: 543140020, [Thickness]: 1 in, [Width]: 6 in, [Length]: 20 ft, [Edge Type]: Square Edge, [Color]: Biscayne, [Material]: Composite, [Application]: Residential and Commercial Decking","TREX® Transcend® Lineage™ 543140020 Square Edge Decking, 1 in x 6 in x 20 ft, Biscayne","Upgrade your outdoor living space with TREX Transcend Lineage composite decking in Biscayne. Engineered for superior durability, fade and stain resistance, and a natural wood look that stays cooler in the sun.",,,,,,,,,,,,,,,,,,,,,,,,,,Composite Decking Board,Series,Transcend Lineage,,Model,543140020,,Thickness,1,in,Width,6,in,Length,20,ft,Color,Biscayne,,Edge Type,Square Edge,,Material,Composite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,ft,,,6,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
